english,luo
Abdominal pain,Riu ich
Abscess,Um ma tiyo gi remo
Acid reflux,Chiew ich
Acne,Chuo
Acquired immunodeficiency syndrome (AIDS),Okimi
Acute,Marach gi sa matin
Allergy,Alagi
Amnesia,Winjo piny
Anemia,Remo matin
Anesthesia,Yath mar liet
Antibiotic,Yath thietho
Antibody,antibodi
Antidote,Yath luok
Antifungal,Yath jwangʼ kidh
Antihistamine,Yath luok allergy
Antimalarial,Yath luok maleriya
Antioxidant,Yath luok chiew
Antipyretic,Yath luok rem
Antiseptic,Yath luok tuon
Anxiety,Kethruok chuny
Appendicitis,Tuon appendix
Appetite,Dhok mamit
Arthritis,Tuo gikwayo
Asthma,Asma
Bacteria,Baktiria
Bile,Duol remo
Biopsy,Kawo remo kata ringruok mondo one
Birth,Nywol
Bleeding,Remo wuok
Blindness,Ok neno
Blood,Remo
Blood clot,Remo machungʼ
Blood pressure,Tero remo
Blood test,Temo remo
Blurred vision,Winjo piny marach
Boil,Kok
Bone,Chugo
Brain,Obuongo
Breastfeeding,Dhodho nyathi
Bronchitis,Tuon um
Burn,Kethruok mot
Cancer,Kansa
Cardiologist,Jadolo chuny
Cardiology,Puonj chuny
Catheter,Kateta
Cavity,Dhole lak
Check-up,Neno dhaktari
Chest pain,Kor malit
Chickenpox,Chwiri
Chills,Chando
Cholesterol,Kolestrol
Chronic,Tuo ma ok tho
Cirrhosis,Tuo chiemo
Clinic,Klinik
Clotting,Remo chungʼo
Cold,Tuon dwaro
Coma,Liel maber
Complication,Tik mondo
Constipation,Ok dhi
Contagious,Tuo ma wuok
Cough,Ooy
Cramp,Ngwill
CT scan,CT scan
Cure,Tera
Dandruff,Pi lak
Deafness,Ok winjo
Dehydration,Remo matin
Dental,Dak lak
Depression,Kethruok chuny
Diabetes,Sukari
Diagnosis,Neno tuo
Diarrhea,Lak pi
Dizziness,Winjo piny
Doctor,Jarany
Dose,Kit yath
Dressing,Bendej
Drug,Yath
Ear infection,Tuon wit
Earache,Riu wit
Eczema,Chwiri
Emergency,Ndalo marach
Endoscopy,Endoscopy
Epilepsy,Tuo dwaro
Epidemic,Tuon wuok
ER (Emergency Room),ER
Examination,Neno
Fatigue,Chakruok
Fever,Ruma
First aid,Kony ndalo marach
Flu,Flu
Fracture,Bend chungʼruok
Fungus,Kidh
Gallstones,Kidi duol remo
Gastritis,Tuon ich
Genetics,Puonj jomoko
Gland,Nyarombo
Glucose,Sukari
Growth,Um matin
Hallucination,Neno piny marach
Headache,Riu wi
Health,Ranyisi maber
Hearing aid,Jarany winjo
Heart attack,Thoyo chuny
Heart failure,Chuny piny
Heartburn,Ich chiew
Hemoglobin,Hemoglobin
Hemorrhage,Remo wuok maber
Hepatitis,Tuon chiemo
Herbal medicine,Yath cham
Hernia,Hernia
HIV,HIV
Hormone,Hormone
Hospital,Osiepe tuo
Hypertension,Tero remo malo
Hypotension,Tero remo ma low
Immune system,Ranyisi remo
Immunity,Kwero
Immunization,Tuogo mondo
Implant,Keto yath
Incision,Tuok
Infection,Tuon
Infertility,Ok nywol
Inflammation,Um ma chwer
Influenza,Flu
Injection,Tuogo
Insomnia,Ok nindo
Insulin,Insulin
Intensive Care Unit (ICU),ICU
Intravenous (IV),Tuogo remo
Itching,Koro
Jaundice,Rek
Joint,Gikwayo
